City,Population,9/14/1918,9/21/1918,9/28/1918,10/5/1918,10/12/1918,10/19/1918,10/26/1918,11/2/1918,11/9/1918,11/16/1918,11/23/1918,11/30/1918,12/7/1918,12/14/1918,12/21/1918,12/28/1918,1/4/1919,1/11/1919,1/18/1919,1/25/1919,2/1/19191,2/8/1919,2/15/1919,2/22/1919,3/1/1919,3/8/1919,3/15/1919,Total,Deaths/1000
,,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,,
"Albany, NY",112565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Atlanta, GA",201752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Baltimore, MD",599653,0,0,0,117,563,1357,1073,397,147,51,0,40,58,68,74,57,48,75,83,150,138,126,117,90,66,51,61,5007,8.349828984
"Birmingham, AL",197670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boston, MA",785245,46,265,775,1214,1027,589,226,137,76,47,54,54,63,83,132,201,244,227,158,153,110,89,71,0,70,69,45,6225,7.92746213
"Buffalo, NY",473229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cambrige, MA",111432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chicago, IL",2596681,16,24,91,417,1047,2105,2367,1470,738,390,251,217,262,418,496,439,321,269,328,734,277,194,235,233,230,213,232,14014,5.396889337
"Cincinnati, OH",418022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cleveland, OH",810306,0,0,0,18,40,158,453,682,524,351,240,197,192,226,241,186,132,94,92,92,108,100,80,0,94,131,132,4563,5.631205989
"Columbus, OH",225296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dayton, OH",130655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Denver, CO",268439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fall River, MA",128392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Grand Rapids, MI",135450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Indianapolis, IN",289577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jersey City, NJ",318770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kansas City, MO",313785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Los Angeles, CA",568495,0,0,0,0,69,131,293,382,309,300,196,167,125,134,141,117,99,151,178,177,104,47,21,8,14,8,13,3184,5.600752865
"Louisville, KY",242707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lowell, MA",109081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memphis, TN",154759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Milwaukee, WI",453481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Minneapolis, MN",383442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nashville, TN",119215,0,0,0,0,129,193,127,54,53,15,16,23,26,28,29,22,20,17,21,21,17,15,16,23,19,18,11,913,7.658432244
"Newark, NJ",428684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New Haven, CT",154865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New Orleans, LA",382273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New York, NY",3215879,0,106,191,733,2121,4227,5222,4402,2277,1053,657,424,446,477,534,678,753,870,998,1193,1212,893,786,788,904,747,695,33387,10.38192046
"Oakland, CA",214206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Omaha, NE",180264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Philadelphia, PA",1761371,0,0,0,706,2635,4597,3021,1203,375,164,103,93,102,105,143,127,142,194,229,259,308,262,232,231,207,183,164,15785,8.961768986
"Pittsburgh, PA",593303,0,17,34,69,114,389,576,630,798,532,385,297,200,202,144,127,99,103,111,145,174,145,163,137,134,116,118,5959,10.0437719
"Portland, OR",308399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Providence, RI",263613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Richmond, VA",160719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rochester, NY",264856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"St. Louis, MO",779951,0,0,0,0,86,186,233,257,229,228,190,235,375,469,293,129,67,83,75,71,75,53,64,0,81,93,119,3691,4.732348571
"St. Paul, MN",257699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"San Francisco, CA",478530,0,0,0,0,0,130,552,738,414,198,90,56,50,71,137,178,194,290,310,149,59,41,20,18,21,22,17,3755,7.846947945
"Seattle, WA",366445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Spokane, WA",157656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Syracuse, NY",161404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Toledo, OH",262234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Washington, DC",401681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Worchester, MA",173650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,21115781,68,449,1453,4558,11386,19939,20806,14818,8442,5038,3492,3192,3619,4635,4650,3846,3483,3565,3924,4199,3360,2586,2321,1971,2352,2274,2205,142631,6.754711086
